Wavenumber=11604.8367,Intensity=0.306888240008575
Wavenumber=11605.1589,Intensity=0.0786633089213238
Wavenumber=11606.6999,Intensity=0.177329046881356
Wavenumber=11607.7927,Intensity=0.332649207141078
Wavenumber=11608.0828,Intensity=0.221896294937358
Wavenumber=11608.8581,Intensity=0.381470725536926
Wavenumber=11608.8581,Intensity=0.381470725536926
Wavenumber=11611.8415,Intensity=0.117455274486489
Wavenumber=11613.0181,Intensity=0.0993792183519387
Wavenumber=11614.4804,Intensity=0.0890248796307316
Wavenumber=11616.822,Intensity=0.2029580053648
Wavenumber=11620.3591,Intensity=0.33592229985977
Wavenumber=11620.905,Intensity=0.325675723446043
Wavenumber=11623.2742,Intensity=0.379228610279551
Wavenumber=11624.325,Intensity=0.0932469754376106
Wavenumber=11624.8796,Intensity=0.129711008046518
Wavenumber=11625.3845,Intensity=0.229748301804138
Wavenumber=11625.3845,Intensity=0.229748301804138
Wavenumber=11626.0063,Intensity=0.152337625809599
Wavenumber=11627.6277,Intensity=0.23857476580009
Wavenumber=11627.6277,Intensity=0.23857476580009
Wavenumber=11633.1111,Intensity=0.361564770368319
Wavenumber=11634.5359,Intensity=0.103164972363859
Wavenumber=11636.5406,Intensity=0.354251369019629
Wavenumber=11636.9871,Intensity=0.340275388427387
Wavenumber=11637.7576,Intensity=0.413457738306941
Wavenumber=11637.7576,Intensity=0.413457738306941
Wavenumber=11638.4444,Intensity=0.083749485235889
Wavenumber=11638.6482,Intensity=0.243430427818847
Wavenumber=11642.2292,Intensity=0.0990552068098561
Wavenumber=11642.7191,Intensity=0.110908577552886
Wavenumber=11643.2331,Intensity=0.228349629602855
Wavenumber=11644.7463,Intensity=0.118232315387659
Wavenumber=11645.6199,Intensity=0.0928659178589359
Wavenumber=11645.9831,Intensity=0.408350874811983
Wavenumber=11650.5154,Intensity=0.260354729447485
Wavenumber=11650.948,Intensity=0.134626472498155
Wavenumber=11652.2654,Intensity=0.416574398432139
Wavenumber=11653.0603,Intensity=0.31870405840423
Wavenumber=11653.9832,Intensity=0.0765046456928211
Wavenumber=11655.9628,Intensity=0.0660229159967487
Wavenumber=11656.5232,Intensity=0.115157654785292
Wavenumber=11658.0388,Intensity=0.127256152986928
Wavenumber=11658.9353,Intensity=0.399573230288442
Wavenumber=11658.9353,Intensity=0.399573230288442
Wavenumber=11660.7556,Intensity=0.229366242545369
Wavenumber=11661.4177,Intensity=0.284440745379569
Wavenumber=11662.302,Intensity=0.0556626737566863
Wavenumber=11663.0873,Intensity=0.0780357598941271
Wavenumber=11664.1677,Intensity=0.147086889794957
Wavenumber=11666.7781,Intensity=0.423052753787658
Wavenumber=11667.5818,Intensity=0.126395816347396
Wavenumber=11669.1033,Intensity=0.344207401941344
Wavenumber=11671.3103,Intensity=0.0702114803848588
Wavenumber=11671.9216,Intensity=0.430447511451548
Wavenumber=11672.5876,Intensity=0.138568644895342
Wavenumber=11672.9128,Intensity=0.303542429577485
Wavenumber=11675.9665,Intensity=0.102352936596406
Wavenumber=11677.5203,Intensity=0.162213822128213
Wavenumber=11678.2038,Intensity=0.233444757101244
Wavenumber=11678.9656,Intensity=0.133294337429963
Wavenumber=11681.2673,Intensity=0.425484577309187
Wavenumber=11683.0442,Intensity=0.0726026967899293
Wavenumber=11684.4968,Intensity=0.346628029378979
Wavenumber=11684.9314,Intensity=0.429298151032103
Wavenumber=11685.0837,Intensity=0.303360251674326
Wavenumber=11687.8904,Intensity=0.124757295044318
Wavenumber=11690.5564,Intensity=0.170682707642742
Wavenumber=11690.9587,Intensity=0.15471095405525
Wavenumber=11692.8816,Intensity=0.100655607436428
Wavenumber=11695.5515,Intensity=0.272839698562775
Wavenumber=11695.7038,Intensity=0.433703440630463
Wavenumber=11696.1453,Intensity=0.334599343307055
Wavenumber=11697.9021,Intensity=0.405388516046034
Wavenumber=11701.0017,Intensity=0.353978315288315
Wavenumber=11702.2644,Intensity=0.151958294530662
Wavenumber=11703.1706,Intensity=0.126537287676499
Wavenumber=11704.4714,Intensity=0.169483817339472
Wavenumber=11706.8748,Intensity=0.0823110442036169
Wavenumber=11707.7966,Intensity=0.349506247016982
Wavenumber=11708.8943,Intensity=0.0704902884486308
Wavenumber=11709.1801,Intensity=0.0630797951719076
Wavenumber=11709.7761,Intensity=0.126975995141468
Wavenumber=11710.0808,Intensity=0.390790897049565
Wavenumber=11710.8191,Intensity=0.460370352815315
Wavenumber=11710.8191,Intensity=0.460370352815315
Wavenumber=11712.7908,Intensity=0.21585421743977
Wavenumber=11714.0896,Intensity=0.142350576893852
Wavenumber=11716.8396,Intensity=0.269680129588135
Wavenumber=11717.8295,Intensity=0.0810008040152226
Wavenumber=11718.0261,Intensity=0.162020419724704
Wavenumber=11718.2732,Intensity=0.0750990540843598
Wavenumber=11718.4471,Intensity=0.136033541762359
Wavenumber=11719.4353,Intensity=0.361071943761786
Wavenumber=11721.0163,Intensity=0.117277621904041
Wavenumber=11723.6609,Intensity=0.396853690144002
Wavenumber=11724.3562,Intensity=0.325141550895181
Wavenumber=11725.9831,Intensity=0.166223270486361
Wavenumber=11726.6804,Intensity=0.102844299755425
Wavenumber=11729.908,Intensity=0.20805853198994
Wavenumber=11731.0242,Intensity=0.355642922898538
Wavenumber=11731.3708,Intensity=0.124567714654219
Wavenumber=11731.5945,Intensity=0.137516170384619
Wavenumber=11732.1986,Intensity=0.0821795541548895
Wavenumber=11732.6072,Intensity=0.270273720949714
Wavenumber=11733.7322,Intensity=0.130987915731339
Wavenumber=11736.3816,Intensity=0.349003986146864
Wavenumber=11737.9363,Intensity=0.149445910354718
Wavenumber=11738.5124,Intensity=0.331175444453273
Wavenumber=11739.0629,Intensity=0.0672089691657576
Wavenumber=11741.8923,Intensity=0.141025474898664
