BandName=AB2a,type=PR,"comment=Poistettu huonoja assingnointe",color1=4,color2=2,Molecule=DCC81Br,lowerstate=000_1(1)0(0)_1e,upperstate=000_2(0)0(0)_0e,RMSRes=0.000212436,Origin=474.3419015
BandName=AB2b,type=PR,color1=4,color2=3,Molecule=DCC81Br,lowerstate=000_1(1)0(0)_1e,upperstate=000_2(2)0(0)_2e,RMSRes=0.00027456,Origin=484.1443698
BandName=AB2c,type=PR,color1=4,color2=5,Molecule=DCC81Br,lowerstate=000_1(1)0(0)_1f,upperstate=000_2(2)0(0)_2f,RMSRes=0.000282963,Origin=484.1440989
BandName=AB2q,type=Q,color1=4,color2=6,Molecule=DCC81Br,lowerstate=000_1(1)0(0)_1f,upperstate=000_2(0)0(0)_0e,RMSRes=0,Origin=474.3450089
BandName=AB3a,type=PR,"comment=Hyvä fitnes. Hyvä isotooppipar",color1=5,color2=0,Molecule=DCC81Br,lowerstate=000_0(0)2(0)_0e,upperstate=000_1(1)2(0)_1e,RMSRes=0.000254033,Origin=481.6480507
BandName=AB3b,type=PR,"comment=Fitup ei tavattoman hyvä mutt",color1=5,color2=1,Molecule=DCC81Br,lowerstate=000_0(0)2(2)_2e,upperstate=000_1(1)2(2)_3e,RMSRes=0.000474108,Origin=483.7367023
BandName=AB3c,type=PR,"comment=Ihan kivan näköinen sopivuus.",color1=5,color2=2,Molecule=DCC81Br,lowerstate=000_0(0)2(2)_2f,upperstate=000_1(1)2(2)_1f,RMSRes=0.000294339,Origin=481.1505004
BandName=AB5a,type=PR,"comment=Hyvä Q-haara hyvä isotooppipa",color1=5,color2=3,Molecule=DCC81Br,lowerstate=000_1(1)1(1)_2f,upperstate=000_2(2)1(1)_3f,RMSRes=0.000458142,Origin=485.71693
BandName=AX6,type=R,"comment=Ei oikein löydy P-paria",color1=6,color2=3,"Molecule=Unknown Molecule","lowerstate=Unknown State","upperstate=Unknown State",RMSRes=0.000368585,Origin=0
BandName=AX6b,type=R,"comment=Ei löydy peria P-haarasta mut",color1=6,color2=4,"Molecule=Unknown Molecule","lowerstate=Unknown State","upperstate=Unknown State",RMSRes=0.00056963,Origin=0
BandName=AX7,type=P,"comment=Hieno P-haara ehkäpä nu3:n m",color1=6,color2=5,"Molecule=Unknown Molecule","lowerstate=Unknown State","upperstate=Unknown State",RMSRes=0.000339535,Origin=480.0866877
