Wavenumber=460.407052,Intensity=0.0674206974911003
Wavenumber=460.434134,Intensity=0.155276781644064
Wavenumber=460.445964,Intensity=0.202625666727663
Wavenumber=460.506489,Intensity=0.149113721437161
Wavenumber=460.531349,Intensity=0.0712808082320932
Wavenumber=460.545395,Intensity=0.0647039991694664
Wavenumber=460.559757,Intensity=0.208443271492945
Wavenumber=460.576518,Intensity=0.0705257783306202
Wavenumber=460.585179,Intensity=0.064772627428159
Wavenumber=460.6273207,Intensity=0.0463557732386014
Wavenumber=460.637735,Intensity=0.0696450849755203
Wavenumber=460.657963,Intensity=0.15207975992149
Wavenumber=460.6629584,Intensity=0.0899501203595153
Wavenumber=460.670269,Intensity=0.208308247272817
Wavenumber=460.728785,Intensity=0.14314860646909
Wavenumber=460.739313,Intensity=0.0564189767173182
Wavenumber=460.763064,Intensity=0.0587789650986574
Wavenumber=460.771375,Intensity=0.0677294316428315
Wavenumber=460.785506,Intensity=0.213969963279603
Wavenumber=460.8132226,Intensity=0.0659771601464339
Wavenumber=460.882078,Intensity=0.156818495422124
Wavenumber=460.8870093,Intensity=0.0871584689369586
Wavenumber=460.894995,Intensity=0.218336545063415
Wavenumber=460.906424,Intensity=0.0467723794348157
Wavenumber=460.920624,Intensity=0.0756308561342159
Wavenumber=460.934204,Intensity=0.0432829490944552
Wavenumber=460.951942,Intensity=0.149208549424669
Wavenumber=460.995435,Intensity=0.0810187957643261
Wavenumber=461.011686,Intensity=0.226713166113037
Wavenumber=461.019722,Intensity=0.0811709491454111
Wavenumber=461.029564,Intensity=0.0596572587342053
Wavenumber=461.041557,Intensity=0.0643340405449472
Wavenumber=461.053786,Intensity=0.0481776179995307
Wavenumber=461.072484,Intensity=0.0652336414578199
Wavenumber=461.09855,Intensity=0.0889972121881287
Wavenumber=461.106209,Intensity=0.171573742183834
Wavenumber=461.111788,Intensity=0.0909727803792143
Wavenumber=461.119716,Intensity=0.233739143147877
Wavenumber=461.151149,Intensity=0.0616552577922354
Wavenumber=461.175076,Intensity=0.149366149611062
Wavenumber=461.226325,Intensity=0.0823388275427146
Wavenumber=461.237731,Intensity=0.252512138041929
Wavenumber=461.268899,Intensity=0.0608699616604434
Wavenumber=461.294624,Intensity=0.0600644074310378
Wavenumber=461.304893,Intensity=0.0498427666544555
Wavenumber=461.330946,Intensity=0.199792286228369
Wavenumber=461.336465,Intensity=0.110789284949352
Wavenumber=461.34474,Intensity=0.249520681132826
Wavenumber=461.363153,Intensity=0.0822398623642897
Wavenumber=461.373617,Intensity=0.0837676168434983
Wavenumber=461.382685,Intensity=0.0815172603009804
Wavenumber=461.398655,Intensity=0.188216515332787
Wavenumber=461.44959,Intensity=0.239890416825259
Wavenumber=461.464298,Intensity=0.283049934763345
Wavenumber=461.497733,Intensity=0.0778839807253335
Wavenumber=461.518549,Intensity=0.0875443438409252
Wavenumber=461.55636,Intensity=0.200145658884263
Wavenumber=461.56105,Intensity=0.153463947923065
Wavenumber=461.569879,Intensity=0.270213243320758
Wavenumber=461.585863,Intensity=0.0656111006011249
Wavenumber=461.613112,Intensity=0.074553095577206
Wavenumber=461.62251,Intensity=0.179034972537982
Wavenumber=461.675468,Intensity=0.0858066045996753
Wavenumber=461.690868,Intensity=0.312692788632166
Wavenumber=461.7006486,Intensity=0.0598558848237003
Wavenumber=461.72666,Intensity=0.067139413154648
Wavenumber=461.742756,Intensity=0.06543772551411
Wavenumber=461.781827,Intensity=0.205373624651896
Wavenumber=461.786688,Intensity=0.128882515564469
Wavenumber=461.795458,Intensity=0.282102815682847
Wavenumber=461.82638,Intensity=0.048559229215735
Wavenumber=461.841435,Intensity=0.0955946253544442
Wavenumber=461.846869,Intensity=0.176714916234087
Wavenumber=461.901665,Intensity=0.0780132009725911
Wavenumber=461.917859,Intensity=0.319688332014393
Wavenumber=461.923263,Intensity=0.114172309120428
Wavenumber=461.9289901,Intensity=0.0642961138145388
Wavenumber=461.968348,Intensity=0.0752076944250549
Wavenumber=461.98797,Intensity=0.0686189128081359
Wavenumber=462.00757,Intensity=0.193921805782043
Wavenumber=462.012173,Intensity=0.147885184082375
Wavenumber=462.021121,Intensity=0.337607994076733
Wavenumber=462.032442,Intensity=0.0695233726880395
Wavenumber=462.062827,Intensity=0.0678114834490338
Wavenumber=462.071563,Intensity=0.208478273913946
Wavenumber=462.128594,Intensity=0.085243701082182
Wavenumber=462.144933,Intensity=0.333703289477522
Wavenumber=462.156259,Intensity=0.105127323389868
Wavenumber=462.184182,Intensity=0.0665592167743983
Wavenumber=462.193494,Intensity=0.07043031785889
Wavenumber=462.22334,Intensity=0.0542394360848054
