BandName=A2,type=PR,color1=4,color2=3,Molecule=13C16O,lowerstate=0,upperstate=1,RMSRes=0.00011082419773294,Origin=0
BandName=A1,type=PR,color1=1,color2=5,Molecule=12C16O,lowerstate=0,upperstate=1,RMSRes=6.79185273365019E-5,Origin=2147.08221418588
BandName=A1+,type=PR,color1=1,color2=5,Molecule=12C16O,lowerstate=0,upperstate=1,RMSRes=6.79185273365019E-5,Origin=2147.08221418588
